product-id,highlight
P474377,Hyaluronic Acid
P474377,Good for: Dullness/Uneven Texture
P474377,Hydrating
P474377,Clean at Sephora
P474377,Good for: Anti-Aging
P440312,Clean at Sephora
P440312,Hydrating
P440312,Good for: Anti-Aging
P440312,Without Parabens
P440312,"Best for Dry, Combo, Normal Skin"
P431848,Salicylic Acid
P431848,Lactic Acid
P431848,Good for: Pores
P431848,Good for: Dullness/Uneven Texture
P431848,Without Parabens
P431848,Vegan
P428250,Best for Oily Skin
P428250,Good for: Pores
P428250,Clean at Sephora
P428250,"Best for Oily, Combo, Normal Skin"
P428250,Without Parabens
P428250,Cruelty-Free
P421998,Good for: Dullness/Uneven Texture
P421998,Community Favorite
P421998,Clean at Sephora
P421998,Good for: Anti-Aging
P421998,Good for: Dryness
P297516,Vegan
P297516,Best for Combination Skin
P297516,Community Favorite
P297516,Oil Free
P440934,Clean at Sephora
P440934,Natural Finish
P440934,Good for: Pores
P440934,"Best for Dry, Combo, Normal Skin"
P297517,Vegan
P297517,Clean at Sephora
P297517,Good for: Acne/Blemishes
P416816,Vegan
P416816,Good for: Pores
P416816,AHA/Glycolic Acid
P416816,Salicylic Acid
P416816,Good for: Acne/Blemishes
P416816,Without Parabens
P418346,Good for: Dullness/Uneven Texture
P418346,Community Favorite
P418346,Vitamin C
P418346,Good for: Dark Circles
P418346,Good for: Anti-Aging
P418346,Cruelty-Free
P420699,Good for: Dullness/Uneven Texture
P420699,Vitamin C
P420699,Clean at Sephora
P420699,Good for: Dark spots
P281835,Refill Available
P281835,Without Phthalates
P281835,Without Parabens
P281835,Gluten Free
P281835,Without Sulfates SLS & SLES
P281835,Cruelty-Free
P122900,Best for Oily Skin
P122900,Without Phthalates
P122900,Fragrance Free
P122900,Oil Free
P122900,Without Parabens
P466164,Vegan
P466164,Good for: Dullness/Uneven Texture
P466164,Clean + Planet Positive
P466164,Vitamin C
P466164,Good for: Anti-Aging
P466164,Good for: Dark spots
P423688,Vegan
P423688,Good for: Dullness/Uneven Texture
P423688,allure 2019 Best of Beauty Award Winner
P423688,Salicylic Acid
P423688,"Best for Oily, Combo, Normal Skin"
P423688,Cruelty-Free
P460856,Good for: Dullness/Uneven Texture
P460856,Good for: Dark Circles
P460856,Clean at Sephora
P460856,Good for: Dryness
P460856,"Best for Oily, Combo, Normal Skin"
P433435,Cream Formula
P433435,Matte Finish
P433435,Good for: Anti-Aging
P433435,Full Coverage
P433435,SPF
P232903,Good for: Acne/Blemishes
P232903,Salicylic Acid
P232903,"Best for Oily, Combo, Normal Skin"
P232903,Cruelty-Free
P457008,Collagen
P457008,Hyaluronic Acid
P457008,Vitamin C
P457008,Good for: Dryness
P457008,Good for: Redness
P457008,Good for: Dark spots
P432823,Good for: Dullness/Uneven Texture
P432823,Good for: Loss of firmness
P432823,Good for: Anti-Aging
P469490,Good for: Dullness/Uneven Texture
P469490,Good for: Loss of firmness
P469490,Shimmer Finish
P469490,Without Mineral Oil
P469490,Good for: Dryness
P469490,Without Silicones
P484080,Vegan
P484080,Clean at Sephora
P484080,Cruelty-Free
P459141,Vegan
P459141,Clean + Planet Positive
P459141,Good for: Pores
P459141,"Best for Oily, Combo, Normal Skin"
P459141,Without Parabens
P459141,Cruelty-Free
P447210,Vegan
