product-id,highlight
P264900,Good for: Pores
P264900,Matte Finish
P264900,Long-wearing
P264900,"Best for Oily, Combo, Normal Skin"
P421275,Good for: Redness
P421275,allure 2019 Best of Beauty Award Winner
P421275,Clean at Sephora
P421275,Good for: Acne/Blemishes
P421275,Salicylic Acid
P421275,Without Sulfates SLS & SLES
P422083,Loose Powder Formula
P422083,Long-wearing
P422083,Matte Finish
P422083,"Best for Oily, Combo, Normal Skin"
P422083,Oil Free
P422083,Community Favorite
P467607,Radiant Finish
P467607,Liquid Formula
P467607,Without Parabens
P467607,Community Favorite
P467607,Vegan
P289307,Volumizing
P289307,Long-wearing
P289307,Lengthening
P427301,Radiant Finish
P427301,Liquid Formula
P427301,Community Favorite
P427301,Long-wearing
P427301,Full Coverage
P427301,"Best for Dry, Combo, Normal Skin"
P470025,Light Coverage
P470025,Vegan
P470025,Natural Finish
P470025,Liquid Formula
P470025,Long-wearing
P284716,Vegan
P284716,Natural Finish
P284716,Community Favorite
P284716,Long-wearing
P284716,Without Parabens
P448869,Vegan
P448869,Cruelty-Free
P430969,Stick Formula
P430969,Matte Finish
P430969,Long-wearing
P454380,Natural Finish
P454380,allure 2019 Best of Beauty Award Winner
P454380,Clean at Sephora
P454380,Oil Free
P454380,SPF
P447376,High Shine Finish
P447376,Heat Protection
P447376,Clean at Sephora
P447376,All Hair Types
P447376,UV Protection
P400259,Good for: Dullness/Uneven Texture
P400259,Good for: Loss of firmness
P400259,Community Favorite
P400259,Vitamin C
P400259,Clean at Sephora
P400259,Good for: Dark spots
P248407,Best for Dry Skin
P248407,Community Favorite
P248407,Clean at Sephora
P248407,Good for: Dryness
P248407,Fragrance Free
P248407,Cruelty-Free
P230234,Cream Formula
P230234,Long-wearing
P230234,Matte Finish
P230234,Waterproof
P427413,Vegan
P427413,Lactic Acid
P427413,Community Favorite
P427413,Without Silicones
P427413,Alcohol Free
P410532,Vegan
P410532,Stick Formula
P410532,Natural Finish
P410532,Long-wearing
P410532,Full Coverage
P410532,Cruelty-Free
P409239,Natural Finish
P409239,Community Favorite
P409239,Long-wearing
P392246,Good for: Dullness/Uneven Texture
P392246,Good for: Pores
P392246,Clean at Sephora
P392246,Good for: Anti-Aging
