product-id,ingredient,order
P455936,Sodium Hyaluronate,16
P427420,Aqua (Water),0
P427420,Glycerin,1
P427420,Lactococcus Ferment Lysate,2
P427420,Acetyl Hexapeptide-8,3
P427420,Pentapeptide-18,4
P427420,Palmitoyl Tripeptide-1,5
P427420,Palmitoyl Tetrapeptide-7,6
P427420,Palmitoyl Tripeptide-38,7
P427420,Dipeptide Diaminobutyroyl Benzylamide Diacetate,8
P427420,Acetylarginyltryptophyl Diphenylglycine,9
P427420,Sodium Hyaluronate Crosspolymer,10
P427420,Sodium Hyaluronate,11
P427420,Allantoin,12
P427420,Glycine,13
P427420,Alanine,14
P427420,Serine,15
P427420,Valine,16
P427420,Isoleucine,17
P427420,Proline,18
P427420,Threonine,19
P427420,Histidine,20
P427420,Phenylalanine,21
P427420,Arginine,22
P427420,Aspartic Acid,23
P427420,Trehalose,24
P427420,Fructose,25
P427420,Glucose,26
P427420,Maltose,27
P427420,Urea,28
P427420,Sodium PCA,29
P427420,PCA,30
P427420,Sodium Lactate,31
P427420,Citric Acid,32
P427420,Hydroxypropyl Cyclodextrin,33
P427420,Sodium Chloride,34
P427420,Sodium Hydroxide,35
P427420,Butylene Glycol,36
P427420,Pentylene Glycol,37
P427420,Acacia Senegal Gum,38
P427420,Xanthan Gum,39
P427420,Carbomer,40
P427420,Polysorbate 20,41
P427420,PPG-26-Buteth-26,42
P427420,PEG-40 Hydrogenated Castor Oil,43
P427420,Trisodium Ethylenediamine Disuccinate,44
P427420,Ethoxydiglycol,45
P427420,Sodium Benzoate,46
P427420,Caprylyl Glycol,47
P427420,Ethylhexylglycerin,48
P427420,Phenoxyethanol,49
P427420,Chlorphenesin,50
P432668,Water,0
P432668,Hydrogenated Polyisobutene,1
P432668,Glyceryl Oleate Citrate,2
P432668,Mica,3
P432668,Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer,4
P432668,Glycerin,5
P432668,Ribes Nigrum (Black Currant) Seed Oil,6
P432668,Sclerocarya Birrea Seed Oil,7
P432668,Theobroma Cacao (Cocoa) Extract,8
P432668,Caprylic/Capric Triglyceride,9
P432668,Vitis Vinifera (Grape) Seed Extract,10
P432668,Lecithin,11
P432668,Acetyl Tetrapeptide-17,12
P432668,Linoleic Acid,13
P432668,Linolenic Acid,14
P432668,Sorbitan Isostearate,15
P432668,Camellia Sinensis Leaf Extract,16
P432668,Maltodextrin,17
P432668,Sodium Hyaluronate Crosspolymer,18
P432668,Magnolia Officinalis Bark Extract,19
P432668,Glutamylamidoethyl Imidazole,20
P432668,Colloidal Platinum [Nano],21
P432668,Tocopherol,22
P432668,Phenoxyethanol,23
P432668,Pentylene Glycol,24
P432668,Sodium Benzoate,25
P432668,Sorbic Acid,26
P432668,Caprylyl Glycol,27
P432668,Boron Nitride,28
P432668,Hexylene Glycol,29
P432668,Polysorbate 60,30
P432668,Ethylhexylglycerin,31
P432668,CI 77491 (Iron Oxides),32
P432668,CI 77492 (Iron Oxides),33
P432668,CI 77499 (Iron Oxides),34
P432668,Sodium C14-16 Olefin Sulfonate,35
P421275,Salicylic Acid 0,0
P421275,Aloe Barbadensis (Aloe Vera) Leaf Extract,1
P421275,Retinyl Acetate (Vitamin A),2
P421275,Hydrocolloid Polymer Technology,3
P454380,Avobenzone,0
P454380,,1
P454380,Homosalate,2
P454380,Octisalate,3
P454380,Octocrylene,4
P454380,Isododecane,5
P454380,Dimethicone Crosspolymer,6
P454380,Dimethicone/Bis-Isobutyl PPG-20 Crosspolymer,7
P454380,Polymethylsilsesquioxane,8
P454380,Isohexadecane,9
P454380,Dicaprylyl Carbonate,10
P454380,Meadowfoam Estolide,11
P454380,Caprylic/Capric Triglyceride,12
P454380,Polyester-7,13
P454380,Neopentyl Glycol Diheptanoate,14
P454380,Lithothamnion Calcareum Extract,15
P454380,Caprylyl Glycol,16
P454380,Butyrospermum Parkii (Shea) Butter,17
P454380,Jojoba Esters,18
P454380,Mannitol,19
P454380,Olibanum,20
P454380,Lecithin,21
P454380,Microcrystalline Cellulose,22
P454380,Diatomaceous Earth,23
P454380,Zinc Sulfate,24
P454380,Silica,25
P454380,Tocopherol,26
P400259,Water/Aqua/Eau,0
P400259,Dimethyl Isosorbide,1
P400259,Ascorbic Acid,2
P400259,Laureth-23,3
P400259,Glycerin,4
P400259,Tocopherol,5
P400259,Lactobacillus/Pumpkin Ferment Extract,6
P400259,Sclerocarya Birrea Seed Oil,7
P400259,Dipotassium Glycyrrhizate,8
P400259,Glycyrrhiza Glabra (Licorice) Root Extract,9
P400259,Vitis Vinifera (Grape) Juice Extract,10
P400259,Ferulic Acid,11
P400259,Phyllanthus Emblica Fruit Extract,12
P400259,Camellia Sinensis Leaf Extract,13
P400259,Lactobacillus/Punica Granatum Fruit Ferment Extract,14
P400259,Propanediol,15
P400259,Gluconolactone,16
P400259,Sodium Hyaluronate Crosspolymer,17
P400259,Sodium Hyaluronate,18
P400259,Oryza Sativa (Rice) Bran Extract,19
